Occupation,Skill_Name,Frequency_in_the_market
Academic / Guidance Counselor,Communication,42.65%
Academic / Guidance Counselor,Planning,28.31%
Academic / Guidance Counselor,School Counseling,26.24%
Academic / Guidance Counselor,Leadership,22.09%
Academic / Guidance Counselor,Student Services,21.84%
Academic / Guidance Counselor,Advising,21.25%
Academic / Guidance Counselor,Writing,20.48%
Academic / Guidance Counselor,Teaching,19.10%
Academic / Guidance Counselor,Academic Advising,18.33%
Academic / Guidance Counselor,Interpersonal Communications,16.39%
Account Executive,Sales,87.55%
Account Executive,Communication,47.31%
Account Executive,Sales Prospecting,46.88%
Account Executive,Selling Techniques,42.79%
Account Executive,Customer Service,33.97%
Account Executive,Marketing,32.11%
Account Executive,Presentations,31.62%
Account Executive,Management,28.74%
Account Executive,Customer Relationship Management,26.76%
Account Executive,Negotiation,21.33%
Account Manager / Representative,Sales,66.76%
Account Manager / Representative,Communication,51.80%
Account Manager / Representative,Customer Service,47.07%
Account Manager / Representative,Management,34.34%
Account Manager / Representative,Account Management,25.29%
Account Manager / Representative,Marketing,25.27%
Account Manager / Representative,Problem Solving,23.16%
Account Manager / Representative,Selling Techniques,22.33%
Account Manager / Representative,Leadership,21.23%
Account Manager / Representative,Presentations,21.10%
Accountant,Accounting,96.71%
Accountant,Financial Statements,53.02%
Accountant,Finance,49.27%
Accountant,Auditing,43.92%
Accountant,Detail Oriented,36.39%
Accountant,Generally Accepted Accounting Principles,35.73%
Accountant,Communication,35.63%
Accountant,Microsoft Excel,34.09%
Accountant,Management,33.66%
Accountant,General Ledger,32.13%
Accounting Supervisor,Accounting,89.49%
Accounting Supervisor,Communication,41.18%
Accounting Supervisor,Accounts Payable,37.66%
Accounting Supervisor,Management,36.97%
Accounting Supervisor,Finance,36.82%
Accounting Supervisor,Detail Oriented,36.53%
Accounting Supervisor,Financial Statements,35.62%
Accounting Supervisor,Invoicing,33.25%
Accounting Supervisor,Auditing,32.93%
Accounting Supervisor,Microsoft Excel,32.39%
Accounts Payable / Receivable Manager,Accounting,71.61%
Accounts Payable / Receivable Manager,Accounts Payable,63.58%
Accounts Payable / Receivable Manager,Invoicing,60.31%
Accounts Payable / Receivable Manager,Management,48.55%
Accounts Payable / Receivable Manager,Communication,48.31%
Accounts Payable / Receivable Manager,Finance,46.52%
Accounts Payable / Receivable Manager,Accounts Receivable,44.75%
Accounts Payable / Receivable Manager,Leadership,36.13%
Accounts Payable / Receivable Manager,Detail Oriented,35.50%
Accounts Payable / Receivable Manager,Microsoft Excel,34.97%
Actor / Entertainer,Communication,19.25%
Actor / Entertainer,Customer Service,17.79%
Actor / Entertainer,Sales,14.91%
Actor / Entertainer,Operations,12.95%
Actor / Entertainer,Professionalism,12.58%
Actor / Entertainer,Lifting Ability,12.03%
Actor / Entertainer,Energetic,11.04%
Actor / Entertainer,Photography,9.90%
Actor / Entertainer,Management,8.87%
Actor / Entertainer,Physical Stamina,8.22%
Actuary,Actuarial Exams,56.92%
Actuary,Communication,44.38%
Actuary,Management,44.37%
Actuary,Mathematics,36.83%
Actuary,SQL (Programming Language),35.77%
Actuary,Leadership,30.90%
Actuary,Statistics,30.59%
Actuary,Finance,29.20%
Actuary,Associate Of The Society Of Actuaries,28.29%
Actuary,Underwriting,27.09%
Acupuncturist,Acupuncture License,35.84%
Acupuncturist,Communication,31.30%
Acupuncturist,Treatment Planning,29.46%
Acupuncturist,Traditional Chinese Medicine,15.44%
Acupuncturist,Patient Education And Counseling,15.16%
Acupuncturist,National Certification Commission For Acupuncture And Oriental Medicine (NCCAOM) Certification,14.02%
Acupuncturist,Medical Terminology,13.60%
Acupuncturist,Pain Management,13.31%
Acupuncturist,Patient Treatment,10.91%
Acupuncturist,Customer Service,10.48%
Administrative Manager,Management,47.34%
Administrative Manager,Communication,46.05%
Administrative Manager,Operations,40.07%
Administrative Manager,Leadership,33.91%
Administrative Manager,Customer Service,25.21%
Administrative Manager,Planning,22.42%
Administrative Manager,Detail Oriented,22.36%
Administrative Manager,Coordinating,20.37%
Administrative Manager,Microsoft Office,20.14%
Administrative Manager,Finance,19.40%
Administrative Supervisor,Communication,53.74%
Administrative Supervisor,Customer Service,50.65%
Administrative Supervisor,Management,42.27%
Administrative Supervisor,Leadership,37.91%
Administrative Supervisor,Sales,36.10%
Administrative Supervisor,Operations,35.12%
Administrative Supervisor,Supervision,24.77%
Administrative Supervisor,Scheduling,22.89%
Administrative Supervisor,Merchandising,20.37%
Administrative Supervisor,Cash Register,17.89%
Adult Basic Education / Literacy Instructor,Teaching,48.73%
Adult Basic Education / Literacy Instructor,Adult Education,40.52%
Adult Basic Education / Literacy Instructor,Communication,35.31%
Adult Basic Education / Literacy Instructor,Writing,23.19%
Adult Basic Education / Literacy Instructor,Literacy,20.17%
Adult Basic Education / Literacy Instructor,English Language,19.98%
Adult Basic Education / Literacy Instructor,Planning,18.41%
Adult Basic Education / Literacy Instructor,Mathematics,15.16%
Adult Basic Education / Literacy Instructor,Leadership,14.68%
Adult Basic Education / Literacy Instructor,Lesson Planning,14.34%
Advertising / Promotions Manager,Communication,48.10%
Advertising / Promotions Manager,Marketing,44.46%
Advertising / Promotions Manager,Sales,37.30%
Advertising / Promotions Manager,Management,35.56%
