Skills_Label,Growth Category,Mid Scenario
Cascading Style Sheets (CSS),Rapidly Growing,4.79%
New Hire Orientations,Growing,7.63%
Business To Business,Growing,3.93%
Social Sciences,Growing,-2.17%
Sales Engineering,Stable,0.84%
Stormwater Management,Rapidly Growing,5.92%
Pallet Jacks,Growing,-3.18%
Agile Methodology,Growing,13.66%
Anatomy,Growing,-0.45%
Transformers (Electrical),Lagging,-6.19%
Performance Review,Growing,-2.70%
Scalatest,Growing,-100.00%
SAP Concur (Travel And Invoice Software),Growing,-5.49%
Excavation,Growing,-0.92%
Technical Supervision,Growing,2.15%
Painting,Growing,-1.60%
Competitive Analysis,Growing,-3.00%
Radiology,Growing,-0.37%
Construction Materials Testing,Growing,-4.10%
Brand Management,Lagging,-3.69%
Lease Contracts,Stable,0.21%
Assurance Services,Growing,5.40%
Insurance Sales,Growing,6.51%
Code Review,Growing,9.78%
Apple Numbers,Lagging,-5.84%
RF Scan Guns,Stable,2.58%
Build Time,Growing,10.42%
Respiration,Growing,-5.66%
Emergency Medicine,Growing,1.34%
Nursing Process,Rapidly Growing,2.04%
Continuous Improvement Process,Rapidly Growing,-2.16%
Corporate Strategy,Growing,3.47%
JIRA,Rapidly Growing,2.15%
Contract Review,Growing,0.07%
Variance Analysis,Growing,0.69%
Oscilloscope,Growing,0.79%
Appeals,Lagging,-4.73%
Agile Product Development,Growing,7.41%
AWS CloudFormation,Growing,8.49%
IBM DB2,Growing,6.02%
Employee Engagement,Growing,2.73%
Continuous Delivery,Growing,13.43%
Apache Ignite,Rapidly Growing,-23.81%
Nodes (Networking),Growing,4.90%
Target Audience,Stable,-4.34%
Organic Chemistry,Stable,0.72%
Front End (Software Engineering),Growing,4.89%
Data Structures,Growing,14.62%
Collateral Management,Stable,4.05%
Hardware Interface Design,Growing,1.61%
Material Selection,Stable,-0.60%
Online Marketing,Growing,15.43%
Process Safety Management,Growing,5.26%
Cable Television,Growing,-4.15%
Hospital-Acquired Infection,Growing,-32.63%
Windows Presentation Foundation,Growing,-3.37%
Critical Design Review (CDR),Stable,3.71%
Computerized Maintenance Management Systems,Growing,3.60%
System Lifecycle,Stable,2.45%
Social Media Trends,Stable,-3.01%
Rate Of Return,Stable,-2.56%
Causal Inference,Growing,3.60%
Unified Profile For DoDAF/MODAF (UPDM),Rapidly Growing,7.60%
Surfacing,Stable,5.17%
Business Development,Stable,-1.76%
Childbirth,Rapidly Growing,-21.43%
Profit And Loss (P&L) Management,Growing,-2.48%
ADP Reporting,Stable,-2.99%
Survivability,Growing,-11.47%
Behavior-Driven Development,Growing,8.37%
Atlassian Confluence,Growing,-4.10%
Proofreading,Growing,-4.10%
Environmental Emergency,Stable,2.41%
Internal Communications,Growing,5.31%
Molding (Manufacturing Process),Stable,-3.17%
System Integration Testing,Growing,1.14%
Plant Design,Rapidly Growing,-11.10%
Transitional Care,Stable,1.08%
Loan Documentation,Growing,-4.53%
Lamination,Stable,-1.40%
Billboards,Growing,6.06%
Java Platform Enterprise Edition (J2EE),Rapidly Growing,10.47%
Respite Care,Rapidly Growing,4.64%
Ballasts,Stable,-2.09%
Fertilizers,Growing,-5.41%
Food Plating And Presentation,Growing,-9.08%
Appliance Repair,Lagging,2.03%
Industrial Construction,Rapidly Growing,-0.74%
Product Adoption Strategies,Growing,0.95%
User Requirements Documents,Growing,-0.09%
Network Architecture,Stable,-3.57%
Patient Flow,Growing,0.92%
Internal Reporting,Rapidly Growing,-3.21%
Cognitive Science,Stable,-3.66%
Futures Exchange,Growing,-2.02%
Virtual Classroom,Lagging,0.75%
Office Automation,Growing,1.60%
Accruals,Growing,-2.12%
Child Protection,Rapidly Growing,-1.64%
Health Promotion,Growing,5.99%
Group Dynamics,Growing,-2.47%
Databricks,Rapidly Growing,12.47%
Community Mental Health Services,Stable,-0.55%
Flexography,Stable,-0.51%
Solution Delivery,Growing,7.61%
Heat Guns,Stable,2.89%
Virtual Environment,Growing,8.02%
Software Configuration Management,Growing,6.30%
Database Application,Growing,-6.24%
Juvenile Delinquency,Lagging,-5.83%
Course Evaluations,Stable,-2.24%
Hand Therapy,Lagging,-21.99%
Calendar Management,Growing,-3.25%
