Skill Name,Salary Premium,Skill Frequency,Averege job postings duration (days),Difficulty to fill in the market,Difficulty,GROWTH PROJECTION 
Cascading Style Sheets (CSS),48999.746841,0.55%,27.079144,5.21%,Medium difficulty to fill,4.79%
New Hire Orientations,0,0.06%,31.05491,0.00%,Low difficulty to fill,7.63%
Business To Business,24870.197806,0.72%,29.748359,2.93%,Medium difficulty to fill,3.93%
Social Sciences,9356.617966,0.23%,30.711695,1.14%,Low difficulty to fill,-2.17%
Sales Engineering,47634.114516,0.10%,29.661732,5.59%,High difficulty to fill,0.84%
Stormwater Management,12307.595491,0.12%,30.787084,1.50%,Low difficulty to fill,5.92%
Pallet Jacks,0,0.89%,30.294003,0.00%,Low difficulty to fill,-3.18%
Agile Methodology,61296.059615,2.35%,27.577098,6.65%,High difficulty to fill,13.66%
Anatomy,7614.591063,0.27%,30.176904,0.91%,Low difficulty to fill,-0.45%
Transformers (Electrical),9026.567175,0.10%,29.700351,1.06%,Low difficulty to fill,-6.19%
Performance Review,16707.348368,0.52%,30.620912,2.03%,Low difficulty to fill,-2.70%
Scalatest,72492.61623,0.00%,26.233184,7.45%,High difficulty to fill,-100.00%
SAP Concur (Travel And Invoice Software),8124.977332,0.06%,30.223223,0.97%,Low difficulty to fill,-5.49%
Excavation,0,0.13%,31.299005,0.00%,Low difficulty to fill,-0.92%
Technical Supervision,15104.870038,0.04%,29.993351,1.79%,Low difficulty to fill,2.15%
Painting,0,0.83%,32.502327,0.00%,Low difficulty to fill,-1.60%
Competitive Analysis,48791.623312,0.15%,29.900699,5.78%,High difficulty to fill,-3.00%
Radiology,31384.696132,0.77%,29.346419,3.64%,Medium difficulty to fill,-0.37%
Construction Materials Testing,0,0.02%,31.508031,0.00%,Low difficulty to fill,-4.10%
Brand Management,15697.561885,0.17%,29.6015,1.84%,Low difficulty to fill,-3.69%
Lease Contracts,0,0.06%,31.555606,0.00%,Low difficulty to fill,0.21%
Assurance Services,53803.079863,0.01%,28.980731,6.16%,High difficulty to fill,5.40%
Insurance Sales,8298.637209,0.12%,29.787083,0.98%,Low difficulty to fill,6.51%
Code Review,68153.226537,0.37%,27.336035,7.33%,High difficulty to fill,9.78%
Apple Numbers,0,0.00%,29.370861,0.00%,Low difficulty to fill,-5.84%
RF Scan Guns,0,0.01%,27.807624,0.00%,Low difficulty to fill,2.58%
Build Time,27968.877183,0.00%,29.42617,3.25%,Medium difficulty to fill,10.42%
Respiration,0,0.09%,30.314858,0.00%,Low difficulty to fill,-5.66%
Emergency Medicine,34890.331944,0.27%,29.486436,4.07%,Medium difficulty to fill,1.34%
Nursing Process,27848.920014,0.85%,29.901002,3.30%,Medium difficulty to fill,2.04%
Continuous Improvement Process,29227.826718,0.78%,29.829837,3.45%,Medium difficulty to fill,-2.16%
Corporate Strategy,77815.52538,0.08%,29.846416,9.19%,High difficulty to fill,3.47%
JIRA,54587.997795,0.64%,27.381511,5.88%,High difficulty to fill,2.15%
Contract Review,24948.401171,0.11%,30.458671,3.01%,Medium difficulty to fill,0.07%
Variance Analysis,33303.291099,0.13%,30.13937,3.98%,Medium difficulty to fill,0.69%
Oscilloscope,19819.995253,0.11%,28.849763,2.26%,Low difficulty to fill,0.79%
